㗎,967
一,42422
一一,108
一世,173
一事,35
一仆一碌,2
一仆一轆,1
一來,56
一係,251
一個人,667
一刀切,8
一切,501
一刻,423
一剎那,53
一半,174
一口,311
一口氣,192
一同,39
一向,108
一啲,489
一場,139
一如,65
一如所料,3
一定,1595
一帶,43
一律,27
一心,43
一日,670
一早,353
一時,323
一時間,84
一月,46
一朝得志,1
一條氣,2
一模一樣,25
一樣,1878
一流,26
一百,177
一目了然,6
一眼,125
一箭雙鵰,1
一線,36
一般,381
一般人,71
一號,28
一號風球,4
一路,513
一錘定音,3
一陣,555
一面,135
一額汗,4
一點,366
一齊,1136
丁,187
七,873
七仔,7
七十一,6
七月,62
丈,59
三,3346
三大,25
三月,19
上,9010
上下,161
上個月,9
上列,1
上午,12
上去,177
上吊,5
上圍,5
上天,99
上山,39
上岸,32
上晝,10
上次,140
上水,22
上游,1
上班,28
上等,7
上網,111
上落,19
上路,18
上身,66
上車,57
上近,5
上釣,10
上鎖,4
上限,19
上電,12
上面,709
上高,40
下,9198
下人,50
下便,2
下個月,11
下午,61
下午茶,23
下圍,8
下場,47
下放,6
下晝,57
下次,170
下海,10
下路,4
下面,175
不,12720
不一,32
不便,14
不假外求,2
不停,106
不免,38
不再,30
不准,10
不出,51
不出所料,1
不勝,29
不勝負荷,1
不可,354
不合,55
不合時宜,8
不同,120
不在話下,20
不堪,34
不如,732
不妨,48
不宜,24
不得,142
不復,21
不敢恭維,5
不斷,533
不朽,22
不然,39
不置可否,6
不菲,4
不足,115
不過,2538
且,1246
世,3227
世上,81
世人,79
世界,1626
世界大戰,30
世紀,321
並,890
丫,51
中,7141
中午,13
中原,34
中大,51
中心,481
中成藥,1
中文,389
中暑,5
中標,1
中環,102
中轉,11
中轉站,2
中途,62
中間,249
串,179
丸,63
丹,104
主,2455
主動,105
主因,4
主張,36
主意,26
主要,182
主辦,14
主題,77
乃,116
久,287
久違,4
久遠,6
之,8468
之一,212
之上,55
之下,218
之中,275
之前,878
之唔係,5
之外,300
之後,1882
之間,592
之際,106
之餘,167
乍,6
乎,1524
乘,228
乜,2067
乜人,33
乜嘢,470
乜東東,2
九,864
九七,24
九月,32
九龍,67
乞,73
乞討,1
也,1105
乾,316
乾淨,64
乾糧,11
亂,911
亂噏,4
了,2232
了事,33
了解,203
予,66
事,6519
事主,33
事件,198
事先,42
事前,26
事實,320
事實上,115
事後,73
事發,97
事與願違,8
二,2389
二月,36
二次,39
二讀,2
互,321
五,1410
五月,32
井,80
井井有條,1
些,493
些少,118
亞,528
亡,266
交,1230
交帶,10
交談,20
交通,73
亦,3602
享,351
享受,147
京,106
亭,78
人,27220
人中,32
人事,104
人人,195
人參,11
人哋,290
人員,92
人嚟,124
人士,210
人字拖,6
人山人海,6
人工,180
人影,33
人數,55
人母,5
人民,93
人氣,16
人流,18
人海,29
人為,88
人群,37
人話,254
人身,73
人間,74
人面,32
人頭,49
人龍,11
仁,295
仆,710
仇,112
今,2962
今天,83
今年,147
今日,1168
今朝,47
今次,648
介,467
介乎,9
介紹,209
仍,1046
仍然,908
仔,4298
仔細,125
他,2453
他人,443
付,313
仙,142
仙人,3
仙人掌,1
仙姑,1
仞,2
代,2017
代勞,4
代替,37
代步,5
代表,460
令,1869
令到,529
以,14704
以上,273
以下,158
以來,56
以免,49
以前,447
以及,216
以嚟,64
以往,67
以為,1007
以爲,9
以致,55
仰,79
仲,5492
仲係,352
仲有,1388
仲要,671
件,1851
任,1519
任何,715
份,1715
份人,93
份外,28
企,1828
企理,3
伍,29
伏,169
伐,53
休,342
伯,382
伯公,20
伯父,1
估,1026
估計,72
伴,170
伸,217
伺,16
伺服器,4
似,4227
似乎,507
似足,13
但,10265
但係,5030
但願,13
佈,189
佈滿,18
佈陣,2
位,2154
位於,22
位置,146
低,1777
低微,3
低等,13
低級,10
住,7238
佑,38
佔,252
何,1738
何人,115
何其,21
何必,65
何時,45
何止,8
何處,13
佛,250
作,3184
作出,172
作大,9
作為,375
作用,82
你,24392
你哋,414
佢,21709
佢哋,1424
佬,867
使,1399
使用,156
來,4605
來回,56
來往,12
來歷,10
來路,7
例,1395
例外,61
例子,217
例牌,28
例行,7
例行公事,1
供,329
供應,48
依,3538
依家,2840
依時,2
依然,257
依舊,27
依足,8
依郁,5
侯,50
侯王,8
侵,87
侷,3
侷促,2
便,561
係,60778
係呀,442
係呢,804
係咁,1777
係咪,1387
係路,26
係都,230
促,81
俗,228
保,1045
保佑,11
保你大,2
保存,46
保安,49
保持,101
保護,166
保養,8
信,2105
信口雌黃,2
信心,92
信號,19
修,414
修例,4
修飾,22
俯,26
俱,71
倉,85
個,27631
個人,2033
個位,173
個個,355
個別,36
個月,388
個鐘,289
倍,136
倒,530
倒不如,40
倒吊,3
倒行逆施,4
倒褪,1
候,1692
借,324
借力,4
倦,43
倫,170
倫理,13
值,800
值回票價,5
值得,249
假,845
假日,14
偏,448
偏僻,6
偏向,11
偏差,7
做,7853
做乜,207
做功課,27
做嘢,139
做大,37
做法,156
停,617
停低,66
停止,65
停課,3
停車,12
停車場,4
停辦,1
停駛,2
健,196
健兒,4
健康,91
側,212
側邊,62
偶,151
偶然,33
偶遇,5
偷,379
偷懶,21
偷拍,8
傍,28
傍住,2
傘,54
備,437
傳,1191
傳授,2
傳統,179
傳聞,12
傳言,6
債,56
債主,1
傷,549
傾,682
傾側,1
傾兩句,4
僅,111
僅僅,22
僅餘,12
像,626
僧,15
僧人,5
價,873
價值,328
僻,29
儀,157
儀態,9
儘,45
儘管,31
償,54
優,305
優勝,8
優悠,2
儲,159
儲物櫃,14
元,398
充,419
充份,35
充沛,3
